country,iso3,components,currency,number_of_food_items,data_coverage_food,average_annualized_food_inflation,maximum_food_drawdown,average_annualized_food_volatility,date,open,high,low,close,inflation,year,month,inflation_band
Afghanistan,AFG,"Bread (1 KG, Index Weight = 1), Rice (Low Quality) (1 KG, Index Weight = 1), Wheat (1 KG, Index Weight = 1)",AFN,3,31.77,6.06,-40.67,7.93,2023-09-01,1.44,1.46,1.42,1.42,-6.5,2023,9,deflation
Burkina Faso,BFA,"Maize (White) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Sorghum (White) (1 KG, Index Weight = 1)",XOF,3,55.2,6.81,-36.7,13.71,2023-07-01,1.45,1.47,1.42,1.45,-15.91,2023,7,deflation
Burundi,BDI,"Bananas (1 KG, Index Weight = 1), Beans (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Maize (White) (1 KG, Index Weight = 1), Maize Flour (1 KG, Index Weight = 1), Meat (Goat) (1 KG, Index Weight = 1), Onions (1 KG, Index Weight = 1), Sweet Potatoes (1 KG, Index Weight = 1), Rice (Low Quality, Local) (1 KG, Index Weight = 1), Tomatoes (1 KG, Index Weight = 1)",BIF,10,38.24,7.86,-30.77,12.03,2023-08-01,1.91,1.94,1.87,1.88,26.79,2023,8,high
Cameroon,CMR,"Bananas (12 KG, Index Weight = 0.08), Cassava (Fresh) (5 KG, Index Weight = 0.2), Cocoyam (Macabo) (20 KG, Index Weight = 0.05), Fish (Mackerel, Fresh) (1 KG, Index Weight = 1), Maize (White) (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Rice (Long Grain, Imported) (1 KG, Index Weight = 1), Sorghum (Red) (100 KG, Index Weight = 0.01), Wheat Flour (1 KG, Index Weight = 1)",XAF,10,8.84,2.47,-2.79,1.84,2023-08-01,1.28,1.29,1.28,1.29,2.28,2023,8,low
Central African Republic,CAF,"Cassava (Cossette) (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Rice (1 KG, Index Weight = 1)",XAF,5,24.85,5.22,-24.85,13.74,2023-06-01,1.4,1.43,1.36,1.43,0.04,2023,6,low
Chad,TCD,"Maize (White) (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Rice (Imported) (1 KG, Index Weight = 1), Sorghum (Red) (1 KG, Index Weight = 1)",XAF,4,27.41,3.16,-32.67,12.58,2023-08-01,1.4,1.42,1.38,1.4,0.99,2023,8,low
"Congo, Dem. Rep.",COD,"Beans (1 KG, Index Weight = 1), Cassava (Cossette) (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Fish (Fresh) (1 KG, Index Weight = 1), Fish (Salted) (1 KG, Index Weight = 1), Fish (Smoked) (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Maize Meal (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Meat (Chicken) (1 KG, Index Weight = 1), Meat (Goat, With Bones) (1 KG, Index Weight = 1), Oil (Palm) (1 L, Index Weight = 1), Plantains (1 KG, Index Weight = 1), Rice (Local) (1 KG, Index Weight = 1), Salt (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1), Wheat Flour (1 KG, Index Weight = 1)",CDF,17,15.65,6.64,-15.73,6.99,2023-01-01,1.42,1.44,1.39,1.39,14.09,2023,1,high
"Congo, Rep.",COG,"Beans (White) (1 KG, Index Weight = 1), Cassava Flour (1 KG, Index Weight = 1), Oil (Vegetable) (1 L, Index Weight = 1), Rice (Mixed, Low Quality) (1 KG, Index Weight = 1)",XAF,4,29.37,1.24,-8.13,5.45,2022-04-01,1.07,1.08,1.05,1.06,4.14,2022,4,low
"Gambia, The",GMB,"Apples (Red) (1 KG, Index Weight = 1), Bananas (1 KG, Index Weight = 1), Beans (Dry) (1 KG, Index Weight = 1), Bread (1 KG, Index Weight = 1), Cabbage (1 KG, Index Weight = 1), Carrots (1 KG, Index Weight = 1), Cassava (1 KG, Index Weight = 1), Coffee (Instant) (1 Unit, Index Weight = 1), Eggs (1 Unit, Index Weight = 12), Fish (Bonga) (1 KG, Index Weight = 1), Garlic (1 KG, Index Weight = 1), Groundnuts (Shelled) (1 KG, Index Weight = 1), Maize (1 KG, Index Weight = 1), Meat (Beef) (1 KG, Index Weight = 1), Meat (Chicken) (1 KG, Index Weight = 1), Milk (1 KG, Index Weight = 1), Millet (1 KG, Index Weight = 1), Oil (Vegetable) (1 L, Index Weight = 1), Onions (1 KG, Index Weight = 1), Oranges (Big Size) (1 KG, Index Weight = 1), Potatoes (Irish) (1 KG, Index Weight = 1), Rice (Small Grain, Imported) (1 KG, Index Weight = 1), Salt (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1), Tea (1 Unit, Index Weight = 1), Tomatoes (1 KG, Index Weight = 1)",GMD,26,31.08,6.68,-20.83,7.15,2023-07-01,1.71,1.72,1.69,1.7,21.56,2023,7,high
Guinea-Bissau,GNB,"Millet (1 KG, Index Weight = 1), Oil (Vegetable, Imported) (1 L, Index Weight = 1), Rice (Imported) (1 KG, Index Weight = 1), Sorghum (1 KG, Index Weight = 1), Sugar (1 KG, Index Weight = 1)",XOF,5,15.61,1.62,-28.04,11.77,2023-08-01,1.45,1.48,1.42,1.43,3.81,2023,8,low
